keywords;title;description;modified;Typ;Kontakt;URL
Klima;Energieeffizienz von Gebäuden;In der Schweiz ist rund ein Drittel der CO2-Emissionen auf den Gebäudesektor zurückzuführen. Entsprechend hoch ist in diesem Sektor das Emissionsreduktionspotenzial. Das von Bund und Kantonen getragene Gebäudeprogramm zielt darauf ab, durch Beiträge an verschiedene Massnahmen den Energieverbrauch der Gebäude und die damit verbundenen Treibhausgasemissionen zu senken. Jedes Jahr fliesst ein Drittel des Ertrags der CO2-Abgabe, höchstens aber 450 Millionen Franken, in das Gebäudeprogramm. Dazu kommen kantonale Kredite (ca. 80 Mio. Fr. pro Jahr). Neben dem Gebäudeprogramm tragen auch die Minergie®-Standards zur Verbesserung der Energieeffizienz von Gebäuden bei. Minergie®-Standards sind freiwillige Baustandards, die für hohe Energieeffizienz und niedrige Treibhausgasemissionen stehen;2024-03-21 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Landschaft;Landwirtschaftsfläche;Circa ein Viertel der Schweizer Landesfläche besteht aus landwirtschaftlich genutzten Gebieten mit leicht abgeschwächter abnehmender Tendenz. Wenn diese verloren gehen, werden die verbleibenden Landwirtschaftsflächen häufig intensiver genutzt. Dadurch können Tiere und Pflanzen, die auf eher extensiven Landwirtschaftsflächen vorkommen, bedrängt werden. Wenn Landwirtschaftsflächen überbaut werden, verlieren sie zudem ihre ökologischen Funktionen. Wird Landwirtschaftsland aufgegeben, verwaldet es häufig und verändert das Landschaftsbild.;2023-05-05 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Landschaft;Bodenversiegelung;Die wachsenden Siedlungen und Infrastrukturen haben nicht nur eine Zersiedlung und Zerschneidung der Landschaft zur Folge, sondern auch eine Versiegelung der Böden. Durch Gebäude, Beton, Asphalt oder andere undurchlässige Abdeckungen gehen Lebensräume, Flächen für die Lebensmittelproduktion und andere Bodenleistungen unwiederbringlich verloren oder erleiden starke Einbussen – so zum Beispiel das Speichern und Filtern von Wasser oder die Klimaregulation.;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Landschaft;Landschaftszersiedelung;Die Ausdehnung der Siedlungen und Infrastrukturen hat in der Schweiz zur Folge, dass die Landschaft immer stärker durchsetzt ist von Gebäuden, Anlagen, Strassen, Schienen und weiteren Infrastrukturen, die sich zudem auf immer grössere Flächen verteilen. Eine wesentliche Ursache dieser ästhetisch negativ wahrgenommenen Zersiedlung der Landschaft ist die starke räumliche Trennung von Arbeit, Wohnen und Freizeit sowie die damit verbundene Nachfrage nach Verkehrsleistungen.;2023-03-15 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Landschaft;Lichtemissionen;Die zunehmend intensive Nutzung des Raums durch Menschen zeigt sich eindrücklich an den nächtlichen Lichtemissionen. Die Ausdehnung von Siedlungen und Infrastrukturen drängt die Dunkelheit auf immer kleinere Bereiche zurück. Viele Menschen verlieren damit die Möglichkeit, die Milchstrasse oder den Sternenhimmel in der ganzen Pracht zu beobachten. Übermässige Lichtemissionen können auch die Lebensraumqualität nachtaktiver Tiere beeinträchtigen, deren Orientierung stören oder ihre Aktivitätszeit verkürzen. Schliesslich kann Licht den menschlichen Schlafzyklus destabilisieren, was negative Folgen für die Gesundheit hat.;2023-03-14 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Landschaft;Anlagefreie Gebiete;Anlagefreie Gebiete und Landschaften ermöglichen intensive Naturerlebnisse und bieten Wildtieren Lebensräume. Ökologisch wertvoll sind abgeschiedene Gegenden, wenn Tiere und Pflanzen dort dauerhaft vor Störungen geschützt sind, wie sie insbesondere von Freizeitaktivitäten ausgehen können.;2023-03-14 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Landschaft;Landschaften von nationaler Bedeutung;;2024-09-10 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Landschaft;Städtisches Grün;Städtisches Grün ist für urbane Landschaften ein charakteristisches Element. Es ist Klima- und Biodiversitätsrelevant (Abkühlung der Städte;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Lärm;Lärmemissionen Schienenverkehr;Weitere Informationen unter Auswertungen des Monitorings Eisenbahnlärm.;2024-05-25 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Lärm;Subjektive Lärmbelastung;Lärm stresst und macht krank. Ob Menschen ein Geräusch als Lärm empfinden, hängt aber nicht nur von der Lautstärke ab. Auch zahlreiche individuelle Faktoren wie etwa die Lärmart, die persönliche Einstellung, die Tageszeit, der Gesundheitszustand und das Alter spielen eine Rolle. Diese individuellen Faktoren lassen sich in objektiven Belastungsgrenzwerten nur bedingt abbilden.;2024-09-20 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Lärm;Externe Lärmkosten;Übermässiger Lärm schädigt die Gesundheit. Die Kosten, die dadurch entstehen – beispielsweise für ärztliche Behandlung – werden jedoch nicht von den Verursachern, also den Verkehrsteilnehmenden, getragen, sondern müssen von den Geschädigten selbst übernommen werden. Das Gleiche gilt für den Wertverlust, den Liegenschaften durch übermässigen Lärm erleiden und der ausschliesslich von den Liegenschaftseigentümern getragen wird. Solche Kosten, die nicht von den Verursachern getragen werden, heissen externe Kosten.;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Lärm;Lärmschutzmassnahmen Flugverkehr;;2024-11-28 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Lärm;Lärmschutz Schienenverkehr;;2024-11-28 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Lärm;Lärmbedingte Gesundheitsschäden;Bei jedem störenden Geräusch gerät der menschliche Körper in Alarmbereitschaft. Er schüttet Stresshormone wie Adrenalin und Cortisol aus, das Herz schlägt schneller, der Blutdruck steigt und die Atemfrequenz nimmt zu. Dies kann zu folgenden Symptomen führen:  Belästigung Beeinträchtigung der Konzentration und der Leistung Schlafstörungen Bluthochdruck Herz-Kreislauf-Krankheiten ;2021-04-20 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Lärm;Schutz Strassenlärm (Programmvereinbarung);;2024-08-22 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Endverbrauch von fossilen Energien;;2024-09-26 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Ammoniak-Emissionen;Hohe Konzentrationen von Ammoniak (NH3) verursachen akute Schäden an der Vegetation und führen zu Versauerung und Überdüngung der Böden. Dies hat schädliche Folgen für Ökosysteme. Zudem ist Ammoniak eine wichtige Vorläufersubstanz für die Bildung von sekundären Aerosolen (flüssige Partikel wie Schwefelsäure oder Salpetersäure, die durch chemische Reaktion aus gasförmigen Vorläuferstoffen wie Schwefeldioxid oder Stickoxiden gebildet werden). Ammoniak entsteht beim Lagern und Ausbringen von Hofdünger. Hauptquelle ist die Nutztierhaltung in der Landwirtschaft.;2024-02-29 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Emissionen flüchtiger organischer Verbindungen;Flüchtige organische Verbindungen (NMVOC) - ohne Methan und ohne Fluorchlorkohlenwasserstoffe (FCKW) - entstehen beim Verdunsten oder bei der unvollständigen Verbrennung von Lösungsmitteln, Brenn- und Treibstoffen. Hauptquellen sind die Industrie, das Gewerbe sowie der Strassenverkehr. Das Spektrum der Verbindungen reicht von nicht toxischen bis zu hochtoxischen und Krebs erzeugenden Stoffen (z.B. Benzol). Zusammen mit den Stickoxiden sind sie wichtige Vorläufersubstanzen für die Bildung von Photooxidantien (Ozon/Sommersmog).;2024-07-22 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Feinstaub-Emissionen;Unter Feinstaub (PM10) versteht man Partikel, die kleiner sind als 10 Mikrometer. Dieser Staub ist ein komplexes physikalisch-chemisches Gemisch. Er entsteht bei industriellen und gewerblichen Produktionsprozessen, Verbrennungsprozessen, mechanischen Prozessen (Abrieb, Aufwirbelung) sowie durch sekundäre Bildung (aus Schwefeldioxid, Stickoxid, Ammoniak und flüchtigen organischen Verbindungen). PM10 ist in seiner Zusammensetzung sehr vielfältig und kann Schwermetalle, Sulfat, Nitrat, Ammonium, organischer Kohlenstoff, polyzyklische aromatische Kohlenwasserstoffe oder Dioxine/Furane enthalten. PM10 führt zu Erkrankungen der Atemwege, des Herz-Kreislaufsystems, zu einer Zunahme des Krebsrisikos und der Sterberate.;2024-08-29 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Schwefeldioxid-Emissionen;Höhere Belastungen von Schwefeldioxid (SO2) können insbesondere die Atemwege betreffen;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Schwermetall-Emissionen;Schwermetalle sind sehr giftig für Menschen und Tiere. Sie reichern sich in den Nahrungsketten an (Bioakkumulation) und schaden der Bodenfruchtbarkeit. Insbesondere Blei (Pb) beeinträchtigt die Blutbildung und die Entwicklung von Kindern;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Stickoxid-Emissionen;Unter dem Begriff Stickoxide (NOx) werden Stickstoffdioxid (NO2) und Stickstoffmonoxid (NO) zusammengefasst. Sie entstehen beim Verbrennen von Brenn- und Treibstoffen, insbesondere bei hohen Verbrennungstemperaturen. Hauptquelle ist der Strassenverkehr. NOx ist eine wichtige Vorläufersubstanz für die Bildung von sauren Niederschlägen, sekundärem Feinstaub und - zusammen mit den flüchtigen organischen Verbindungen - von Ozon/Sommersmog.;2024-02-29 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Emissionen kanzerogener Stoffe;Kanzerogene Stoffe gehören zu den krebserzeugenden Luftschadstoffen. In höheren Konzentrationen haben sie zusätzlich akute Wirkungen auf Augen, Atemwege und das Zentralnervensystem. Kanzerogene Stoffe stellen auch in kleinsten Mengen eine Gefahr für die Gesundheit von Mensch und Tier dar.;2024-02-29 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Feinstaub-Immissionen;Unter Feinstaub (PM10) versteht man Partikel, die kleiner sind als 10 Mikrometer. Dieser Staub entsteht bei industriellen und gewerblichen Produktionsprozessen, Verbrennungsprozessen, mechanischen Prozessen (Abrieb, Aufwirbelung) sowie durch sekundäre Bildung (aus Schwefeldioxiden, Stickoxiden, Ammoniak, flüchtigen organischen Verbindungen). Alle Emittentengruppen wie der Verkehr, die Haushalte, die Industrie und die Landwirtschaft tragen zur Feinstaubbelastung bei. PM10 führt zu Erkrankungen der Atemwege, des Herz-Kreislaufsystems, zu einer Zunahme des Krebsrisikos und der Sterberate.;2024-09-26 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Ozon-Immissionen;Ozon ist eines der stärksten Oxidationsmittel und Reizgase überhaupt. Es greift menschliche, tierische und pflanzliche Gewebe sowie Materialien an. Beim Menschen wirkt sich das vor allem auf die Atemwege und das Lungengewebe aus, bei Pflanzen verursachen hohe Ozonkonzentrationen sichtbare Schäden an Blättern und Nadeln. Wenn sie länger andauern, führt das in der Landwirtschaft zu Ernteeinbussen. Auch Gebäude, Kulturdenkmäler oder Materialien werden durch saure Luftschadstoffe und Photooxidantien angegriffen, ausgebleicht und zerstört. Bodennahes Ozon ist ein Sekundärschadstoff und entsteht unter Einwirkung von Sonnenlicht aus Stickoxiden und flüchtigen organischen Verbindungen.;2024-09-26 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Ammoniak-Immissionen;Hohe Konzentrationen von Ammoniak verursachen akute Schäden an der Vegetation und führen zu Versauerung und Überdüngung der Böden. Dies hat schädliche Folgen für Ökosysteme. Zudem ist Ammoniak eine wichtige Vorläufersubstanz für die Bildung von sekundären Aerosolen (flüssige Partikel wie Schwefelsäure oder Salpetersäure, die durch chemische Reaktion aus gasförmigen Vorläuferstoffen wie Schwefeldioxid oder Stickoxiden gebildet werden). Ammoniak entsteht beim Lagern und Ausbringen von Hofdünger. Hauptquelle ist die Nutztierhaltung in der Landwirtschaft.;2024-09-26 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Schwefeldioxid-Immissionen;Höhere Belastungen von Schwefeldioxid (SO2) können insbesondere die Atemwege betreffen;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Stickstoffdioxid-Immissionen;Unter dem Begriff Stickoxide (NOx) werden Stickstoffdioxid (NO2) und Stickstoffmonoxid (NO) zusammengefasst. Sie entstehen beim Verbrennen von Brenn- und Treibstoffen, insbesondere bei hohen Verbrennungstemperaturen. Hauptquelle ist der Strassenverkehr. Sie sind eine wichtige Vorläufersubstanz für die Bildung von sauren Niederschlägen, sekundärem Feinstaub und – zusammen mit den flüchtigen organischen Verbindungen – von Ozon/Sommersmog. Zusammen mit Ammoniak bilden sie Feinstaub und tragen zur Überdüngung von Ökosystemen bei. Stickstoffdioxid und andere Reizgase begünstigen ausserdem Erkrankungen der Atemwege. Kinder sind speziell betroffen.;2024-10-09 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Benzol-Immissionen;Benzol gehört zu den krebserzeugenden Luftschadstoffen, und in höheren Konzentrationen können Augen, Atemwege und Zentralnervensystem beeinträchtigt werden. Für diese Schadstoffe wurde keine Schwelle nachgewiesen, unterhalb derer keine Gefahr für die Gesundheit besteht. In der Atemluft ist Benzol deshalb grundsätzlich unerwünscht. Benzol entsteht vor allem durch die Verbrennung und Verdunstung von Treib- und Brennstoffen, die Hauptquellen sind der motorisierte Verkehr, Tankstellen, Feuerungen und Heizungen sowie Tabakrauch.;2024-09-26 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Übermässiger Stickstoffeintrag in naturnahen Ökosystemen;;2023-04-05 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Gesundheitsschäden durch Luftverschmutzung;Luftschadstoffe können Asthma, chronischen Husten, Bronchitis oder andere Erkrankungen der Atemwege sowie der Lunge hervorrufen. Im Extremfall kann die Luftverschmutzung vorzeitige Todesfälle verursachen. Besonders betroffen von der Luftverschmutzung sind ältere Menschen, Kinder, Ungeborene oder Kranke. Kleinkinder sind anfällig für Infektionen der Luftwege, da ihr Immunsystem und die Lunge bei der Geburt noch nicht vollständig entwickelt sind. Bei Personen mit Asthma kann die verschmutzte Luft Anfälle auslösen. Die entzündungsfördernden Wirkungen der Luftverschmutzung können gerade bei älteren Menschen die Abwehrkräfte schwächen. Belastet wird auch das Herzkreislaufsystem, da es den Sauerstoffmangel kompensieren muss. Die Folge können Herzrhythmusstörungen und Infarkte sein.;2024-06-04 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Gesundheitskosten der Luftverschmutzung;Die Verminderung oder Behebung von Schäden, die durch Luftbelastung entstehen, verursachen hohe Kosten, beispielsweise im Gesundheitswesen oder bei der Gebäudesanierung. Sie führen auch zu Wertverlust von Liegenschaften, Ernteausfällen in der Landwirtschaft und Belastungen von Ökosystemen. Da diese Kosten und Werteverluste nicht vom Verursacher, sondern von der Allgemeinheit getragen werden, spricht man von externen Kosten. Die externen Kosten infolge der Luftverschmutzung entstehen vor allem im Gesundheitswesen, gefolgt von den Kosten, die durch Ernteausfälle und durch Schäden an Gebäuden und Materialien verursacht werden. Die externen Kosten infolge der Luftverschmutzung entstehen vor allem im Gesundheitswesen, gefolgt von den Kosten, die durch Ernteausfälle und durch Schäden an Gebäuden und Materialien verursacht werden. Dieser Indikator zeigt die Kosten, die die Luftverschmutzung im Gesundheitswesen verursacht.;2021-10-27 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Subjektive Belastung durch Luftverschmutzung;Wie viele Umweltbelastungen sind Luftschadstoffe einzeln kaum unmittelbar wahrnehmbar. Dennoch wird „schlechte Luft“, beispielsweise an viel befahrenen Strassen, als solche wahrgenommen und häufig als unangenehm und störend empfunden. Zu der Geruchsbelästigung kommt oft noch das Wissen um die gesundheitsschädigenden Wirkungen, das als zusätzlicher Stressor wirken kann.;2024-03-18 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Feinstaubimmissionen (PM2.5) in städtischer Umgebung;Unter Feinstaub (PM2.5) versteht man Partikel, die kleiner sind als 2.5 Mikrometer. Dieser Staub entsteht bei industriellen und gewerblichen Produktionsprozessen, Verbrennungsprozessen, mechanischen Prozessen (Abrieb, Aufwirbelung) sowie durch sekundäre Bildung (aus Schwefeldioxid, Stickoxide, Ammoniak, flüchtige organische Verbindungen). Alle Emittentengruppen wie der Verkehr, die Haushalte, die Industrie und die Landwirtschaft tragen zur Feinstaubbelastung bei. PM2.5 führt zu Erkrankungen der Atemwege, des Herz-Kreislaufsystems, zu einer Zunahme des Krebsrisikos und der Sterberate.;2023-06-15 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Alpenquerender Strassengüterverkehr durch die Schweiz;Weitere Informationen unter Monitoring flankierende Massnahmen Umwelt MFM-U.;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Stickoxid-Emissionen des alpenquerenden Verkehrs;Weitere Informationen unter Monitoring flankierende Massnahmen Umwelt MFM-U.;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Feinstaub-Emissionen des alpenquerenden Verkehrs;Weitere Informationen unter Monitoring flankierende Massnahmen Umwelt MFM-U.;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;CO2-Emissionen  des alpenquerenden Verkehrs;Weitere Informationen unter Monitoring flankierende Massnahmen Umwelt MFM-U.;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Lärm;Lärmemissionen des alpenquerenden Verkehrs;Weitere Informationen unter Monitoring flankierende Massnahmen Umwelt MFM-U.;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Stickstoffdioxid-Immissionen entlang der A2 und A13;Weitere Informationen unter Monitoring flankierende Massnahmen Umwelt MFM-U.;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Stickoxid-Immissionen entlang der A2 und A13;Weitere Informationen unter Monitoring flankierende Massnahmen Umwelt MFM-U.;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Feinstaub-Immissionen entlang der A2 und A13;Weitere Informationen unter Monitoring flankierende Massnahmen Umwelt MFM-U.;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Russ-Immissionen entlang der A2 und A13;Weitere Informationen unter Monitoring flankierende Massnahmen Umwelt MFM-U.;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;SIM-Karten Mobilfunk;;2024-08-30 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Datenmenge Mobilfunk;Über die Mobilfunknetze werden nicht nur Gespräche vermittelt, sondern immer häufiger vor allem Daten übertragen. Mit der Einführung von Smartphones hat die Datenübertragung rasant zugenommen. Je mehr Daten wie Videos, Musik, Spiele, E-Mails, Apps, usw. übertragen werden, umso mehr Sendeleistung muss dafür aufgewendet werden.;2024-05-02 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Mobilfunksendeanlagen;Tausende von Basisstationen ermöglichen in der Schweiz eine praktisch flächendeckende Mobilfunkversorgung. Kehrseite ist die landesweite Zunahme der hochfrequenten Strahlung durch die Antennen. Wie intensiv diese Strahlung ist, hängt von mehreren Faktoren ab, beispielsweise der Sendeleistung, der Menge der übermittelten Daten, der Entfernung und der Dämpfung durch Mauerwerk und Dächer. Aus diesem Grund gibt die Anzahl der Standorte von Mobilfunkanlagen keine direkte Auskunft zur Belastung durch nichtionisierende Strahlung (NIS). Aber die Anzahl Sendestandorte gibt einen Hinweis zur Entwicklung der Mobilfunknetze. Da jede Sendeanlage nur eine begrenzte Menge an Gesprächen und Daten übertragen kann, muss bei steigender Nutzung der mobilen Telekommunikation die Anzahl Sendeanlagen ausgebaut werden.;2024-08-30 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Hochspannungsleitungen der allgemeinen Stromversorgung;;2021-12-20 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Unterwerke der allgemeinen Stromversorgung;;2021-12-13 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Transformatorenstationen der allgemeinen Stromversorgung;;2021-12-20 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Gesamtstromverbrauch (ohne Eisenbahnen);;2024-08-26 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Stromverbrauch der Eisenbahnen;;2024-08-26 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Stromübertragung;Wo Elektrizität erzeugt, transportiert und genutzt wird, entstehen als unvermeidliche Nebenprodukte elektrische und magnetische Felder. Je höher die Stromstärke und Spannung und je kleiner der Abstand zu den Strom führenden Anlagen, desto grösser sind diese Felder. Im Bereich der Stromversorgung treten die stärksten Belastungen in unmittelbarer Nähe von Transformatorenstationen und Hochspannungsleitungen auf. Dabei ist die Magnetfeldbelastung im Nahbereich einer Hochspannungsleitung proportional zum übertragenen Strom. D.h. je mehr Strom übertragen wird, desto grösser ist auch die Magnetfeldbelastung.;2021-12-13 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Befürchtete Gesundheitsrisiken durch Mobilfunk;Beim heutigen Stand der Wissenschaft ist unklar, ob und inwieweit Mobilfunkstrahlung bei langfristiger Einwirkung Auswirkungen auf die Gesundheit haben kann. Diese unklare Risikolage wirkt sich auch auf die Wahrnehmung in der Bevölkerung aus.;2021-05-27 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Elektrosmog;Subjektive Belastung durch Mobilfunkantennen oder Hochspannungsleitungen;Es gibt Menschen, die davon überzeugt sind, dass elektromagnetische Felder von Mobilfunkantennen oder Hochspannungsleitungen Schlafstörungen, Kopfschmerzen oder Herz-Kreislauf-Symptome verursachen können oder die diese Wirkungen sogar selber erlebt haben. Darüber, ob die Symptome tatsächlich von den elektromagnetischen Feldern verursacht werden, gibt es noch keine gesicherten Erkenntnisse. Ausserdem stören sich manche Leute grundsätzlich an Mobilfunkantennen oder Hochspannungsleitungen in der Nähe ihres Wohnortes, auch ohne gesundheitliche Auswirkungen zu verspüren. Auch dies kann als Belastung wahrgenommen werden.;2020-01-31 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Bevölkerungswachstum;Jeder Mensch verbraucht Energie, Ressourcen und Rohstoffe, produziert Abfall und beansprucht Wohnraum und Strassen. In diesem Sinne belasten wir alle die Umwelt in einem gewissen Ausmass. Eine steigende Bevölkerung ist damit auch zwangsläufig mit einem Anstieg der Umweltbelastung verbunden;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Bruttoinlandprodukt pro Kopf;Mit einer steigenden Produktion von Gütern und Dienstleistungen, die oft als positiv und erstrebenswert angesehen wird, ist in der Regel ein höherer Energie- und Ressourcenverbrauch verbunden. Dieser erhöhte Verbrauch kann durch eine verbesserte Energie- und Materialeffizienz nur teilweise ausgeglichen werden.;2024-10-11 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Boden;Siedlungsfläche;Der natürlich gewachsene Boden ist eine Lebensgrundlage und eine beschränkte Ressource. Besonders in einem Land wie der Schweiz, in dem die nutzbaren Böden knapp sind, ist ein haushälterischer Umgang mit dem Boden unerlässlich. Mit einer Ausdehnung der Siedlungsfläche geht nicht nur fruchtbarer Boden verloren, es wird zudem auch die Artenvielfalt gefährdet. Auch die Schönheit der Landschaft, die einen grossen Einfluss auf unser körperliches und seelisches Wohlbefinden hat, wird durch intensive Bautätigkeit und deren belastende Auswirkungen vermindert.;2024-01-18 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Luft;Strassenverkehr;Mobil zu sein war schon immer ein Bedürfnis des Menschen, und der Transport von Gütern ist eine wichtige Voraussetzung für eine funktionierende Wirtschaft. Die Nutzung von Verkehrsmitteln, insbesondere des Autos, ist jedoch oft mit Lärm, gesundheitsschädigenden Luftschadstoffen und Emissionen von Treibhausgasen verbunden. Verkehrsbauten verbrauchen zudem Flächen und zerschneiden die Landschaft. ;2024-01-18 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
