keyword;title;description;modified;Typ;Kontakt;URL
Wasser;Geodatenmodell Nationale Beobachtung Oberflächengewässerqualität;;2024-09-26;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/hydrologie/geodatenmodell/NAWA_V1_2.zip.download.zip/NAWA_V1_2.zip
Wasser;Geodatenmodell Kantonale Erhebungen Gewässerzustand;;2024-06-14;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/Kant_Gewaesserzustand_V1_2.zip.download.zip/Kant_Gewaesserzustand_V1_2.zip
Wasser;Geodatenmodell Hydrogeologische Karte der Schweiz 1:100'000, V1.0;;2023-03-28;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/hydrologie/geodatenmodell/Hydrogeologische_Karte_CH_1_100000_20230116.zip.download.zip/Hydrogeologische_Karte_CH_1_100000_20230116.zip
Wasser;Geodatenmodell Topographische Einzugsgebiete Schweizer Gewässer;;2022-07-21;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/hydrologie/geodatenmodell/ezggv1.zip.download.zip/ezggv1.zip
Wasser;Geodatenmodell Nationales Messnetz zur Erhebung der Grundwasser-Quantität, V1.0;;2019-08-06;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/hydrologie/geodatenmodell/NAQUA_QUANT_ID135.1_V1.0.zip.download.zip/NAQUA_QUANT_ID135.1_V1.0.zip
Wasser;Geodatenmodell Geschiebemessnetz SOLID;;2014-04-15;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/wasser/geodatenmodell/geschiebemessnetzsolid.zip.download.zip/geschiebemessnetzsolid.zip
Wasser;Geodatenmodell Kantonale Hydrologische Messnetze;;2019-04-01;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/hydrologie/geodatenmodell/kantonale_hydrologische_messnetze.zip.download.zip/Kantonale%20Hydrologische%20Messnetze.zip
Wasser;Geodatenmodell Messnetze zur Erhebung der Grundwasser-Qualität;;2019-04-01;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/hydrologie/geodatenmodell/MGDM_Grundwasserqualit%C3%A4t_133.2_133.5_134.3_V1.zip.download.zip/20180123_MGDM_Grundwasserqualit%C3%A4t_133.2_133.5_134.3_V1.zip
Wasser;Geodatenmodell Nationales Messnetz zur Erhebung der Wasserisotope;;2019-04-01;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/hydrologie/geodatenmodell/20180123_MGDM_Wasserisotope_133.1_V1.zip.download.zip/20180123_MGDM_Wasserisotope_133.1_V1.zip
Wasser;Geodatenmodell Hydrologische Messnetze, V1.1;;2024-09-26;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/hydrologie/geodatenmodell/hydrologische_messnetze.zip.download.zip/hydrologische_messnetze.zip
